diff,fp,rx
0.27300009727478036,-82.5,-79.5
0.22599992752075204,-82.0,-79.5
0.20500001907348642,-84.0,-79.5
0.28000006675720224,-84.0,-79.5
0.2610000133514405,-82.0,-79.0
0.1859999656677247,-83.5,-79.5
0.29700002670288095,-83.5,-79.0
0.27799997329711923,-82.0,-79.5
0.1859999656677247,-83.5,-79.5
0.25400004386901864,-83.5,-79.5
0.3109999656677247,-82.0,-79.5
0.21899995803833017,-83.0,-79.5
0.22400007247924814,-83.5,-79.5
0.3460000514984132,-83.0,-79.5
0.24499998092651376,-83.0,-79.5
0.228999948501587,-83.5,-79.5
0.3039999961853028,-83.0,-79.5
0.21700010299682626,-83.0,-79.5
0.21899995803833017,-83.0,-79.5
0.28000006675720224,-82.5,-79.5
0.21899995803833017,-82.5,-79.5
0.2029999256134034,-83.0,-79.5
0.27100000381469735,-83.0,-79.5
0.2119999885559083,-82.5,-79.5
0.20999989509582528,-83.0,-79.5
0.25000009536743173,-83.0,-79.5
0.2659998893737794,-82.5,-79.5
0.23100004196167,-82.5,-79.5
0.16500005722045907,-83.0,-79.5
0.2659998893737794,-83.0,-79.5
0.25199995040893564,-82.5,-79.5
0.19299993515014657,-83.0,-79.5
0.23599991798400888,-83.0,-79.5
0.294000005722046,-83.0,-79.5
0.22400007247924814,-83.0,-79.5
0.23800001144409189,-83.0,-79.5
0.30099997520446786,-82.5,-79.5
0.19599995613098153,-83.0,-79.5
0.23800001144409189,-82.5,-79.5
0.3219998836517335,-82.5,-79.5
0.23599991798400888,-82.5,-79.5
0.24299988746643075,-82.5,-79.5
0.3409999370574952,-82.5,-79.5
0.2119999885559083,-83.5,-79.5
0.22400007247924814,-84.0,-79.0
0.3409999370574952,-82.0,-79.0
0.23599991798400888,-83.5,-79.5
0.2029999256134034,-84.0,-79.5
0.2640000343322755,-84.0,-79.5
0.2640000343322755,-82.0,-79.5
0.21899995803833017,-83.0,-79.5
0.24299988746643075,-82.5,-79.0
0.25400004386901864,-83.0,-79.5
0.2830000877380372,-83.0,-79.5
0.2119999885559083,-83.0,-79.5
0.24499998092651376,-82.5,-79.0
0.2400001049041749,-83.0,-79.0
0.22199997901916513,-83.0,-79.5
0.24499998092651376,-83.0,-79.5
0.24299988746643075,-83.0,-79.5
0.22199997901916513,-83.5,-79.5
0.21700010299682626,-83.0,-79.5
0.29700002670288095,-83.0,-79.5
0.20500001907348642,-82.5,-79.5
0.24499998092651376,-83.0,-79.5
0.22599992752075204,-82.5,-79.5
0.19100008010864267,-83.0,-79.5
0.25000009536743173,-82.5,-79.5
0.24299988746643075,-82.5,-79.5
0.2640000343322755,-82.0,-79.0
0.2610000133514405,-82.5,-79.0
0.294000005722046,-82.0,-79.0
0.29700002670288095,-81.5,-79.0
0.23800001144409189,-82.0,-79.5
0.20800004005432138,-82.5,-79.5
0.29899988174438485,-82.0,-79.0
0.2760001182556153,-82.0,-79.5
0.2870000362396241,-82.0,-79.5
0.1840001106262208,-83.5,-79.5
0.30799994468688974,-83.0,-79.0
0.2659998893737794,-83.0,-79.0
0.22599992752075204,-83.0,-79.5
0.29899988174438485,-83.0,-79.0
0.2659998893737794,-83.0,-79.0
0.2640000343322755,-83.0,-79.5
0.30099997520446786,-82.5,-79.0
0.2570000648498536,-82.5,-79.5
0.28000006675720224,-83.0,-79.5
0.25000009536743173,-82.5,-79.0
0.27300009727478036,-82.5,-79.5
0.2900000572204591,-82.5,-79.5
0.2570000648498536,-82.5,-79.0
0.2400001049041749,-82.5,-79.5
0.21700010299682626,-82.5,-79.5
0.24700007438659677,-82.5,-79.5
0.2640000343322755,-82.5,-79.5
0.2119999885559083,-82.5,-79.5
0.25000009536743173,-82.5,-79.5
