diff,fp,rx
0.25,-85.0,-80.0
0.22300004959106445,-85.0,-80.0
0.21400022506713867,-85.0,-80.0
0.25299978256225586,-85.0,-80.0
0.26200008392333984,-85.0,-80.0
0.2569999694824219,-85.0,-80.0
0.2569999694824219,-84.5,-80.0
0.19899988174438477,-85.0,-80.0
0.16900014877319336,-85.5,-80.0
0.22100019454956055,-85.0,-80.0
0.25,-85.0,-79.5
0.2569999694824219,-86.0,-79.5
0.2369999885559082,-86.0,-79.5
0.23000001907348633,-86.0,-80.0
0.21199989318847656,-86.0,-79.5
0.23000001907348633,-86.0,-79.5
0.2369999885559082,-86.0,-80.0
0.2350001335144043,-85.0,-79.5
0.2820000648498535,-85.0,-79.5
0.24599981307983398,-85.0,-79.5
0.27299976348876953,-84.5,-79.5
0.26200008392333984,-85.0,-79.5
0.2589998245239258,-84.5,-79.5
0.2589998245239258,-84.5,-79.5
0.24100017547607422,-84.5,-79.5
0.24599981307983398,-85.0,-80.0
0.24399995803833008,-85.0,-80.0
0.26399993896484375,-85.0,-80.0
0.24100017547607422,-85.0,-80.0
0.2589998245239258,-85.0,-79.5
0.25,-85.5,-80.0
0.23000001907348633,-85.5,-80.0
0.21400022506713867,-85.0,-79.5
0.23199987411499023,-85.0,-79.5
0.23000001907348633,-85.0,-80.0
0.2369999885559082,-85.0,-80.0
0.26599979400634766,-85.0,-80.0
0.2389998435974121,-85.0,-80.0
0.2589998245239258,-85.0,-79.5
0.2369999885559082,-86.0,-80.0
0.26800012588500977,-85.0,-80.0
0.2350001335144043,-85.0,-79.5
0.26200008392333984,-84.5,-79.5
0.2369999885559082,-84.5,-79.5
0.2569999694824219,-85.0,-80.0
0.23000001907348633,-85.0,-80.0
0.2049999237060547,-84.5,-80.0
0.22800016403198242,-84.5,-79.5
0.2480001449584961,-84.5,-79.5
0.27500009536743164,-84.0,-79.5
0.26599979400634766,-84.5,-80.0
0.23000001907348633,-84.5,-80.0
0.2259998321533203,-85.5,-80.0
0.2389998435974121,-85.0,-80.0
0.19899988174438477,-85.0,-80.0
0.21700000762939453,-85.0,-80.0
0.21700000762939453,-84.5,-79.5
0.22300004959106445,-84.5,-79.5
0.2259998321533203,-84.5,-80.0
0.25299978256225586,-85.0,-80.0
0.2369999885559082,-85.0,-80.0
0.21700000762939453,-85.5,-80.0
0.22100019454956055,-85.5,-80.0
0.17799997329711914,-85.5,-80.0
0.17999982833862305,-84.5,-80.0
0.18499994277954102,-85.0,-80.0
0.22300004959106445,-84.5,-79.5
0.2389998435974121,-84.5,-80.0
0.23199987411499023,-84.5,-80.0
0.2389998435974121,-85.0,-80.0
0.23199987411499023,-85.5,-80.0
0.21400022506713867,-85.0,-80.0
0.21199989318847656,-85.0,-79.5
0.1919999122619629,-85.0,-79.5
0.22800016403198242,-84.5,-79.5
0.2389998435974121,-84.5,-80.0
0.2389998435974121,-85.5,-80.0
0.22800016403198242,-85.0,-80.0
0.24100017547607422,-85.5,-80.0
0.22300004959106445,-85.5,-79.5
0.21700000762939453,-85.0,-79.5
0.21400022506713867,-84.5,-79.5
0.22100019454956055,-85.5,-80.0
0.21000003814697266,-85.5,-80.0
0.24399995803833008,-85.0,-80.0
0.27500009536743164,-85.0,-80.0
0.26399993896484375,-85.5,-80.0
0.2839999198913574,-85.0,-80.0
0.24599981307983398,-85.0,-80.0
0.22100019454956055,-84.5,-79.5
0.2350001335144043,-85.5,-80.0
0.2389998435974121,-86.0,-80.0
0.23000001907348633,-86.0,-80.0
0.2569999694824219,-85.0,-80.0
0.26200008392333984,-85.5,-80.0
0.2820000648498535,-85.0,-80.0
0.2589998245239258,-85.0,-80.0
