diff,fp,rx
0.23399996757507324,-84.0,-78.5
0.24800002574920654,-84.5,-78.5
0.3059999942779541,-84.0,-78.5
0.281000018119812,-84.5,-79.0
0.2630000114440918,-84.5,-79.0
0.24800002574920654,-84.5,-79.0
0.25899994373321533,-83.0,-79.5
0.29100000858306885,-83.0,-78.5
0.2979999780654907,-83.5,-78.5
0.30400002002716064,-83.0,-78.0
0.2749999761581421,-83.5,-78.5
0.2539999485015869,-84.0,-79.0
0.2239999771118164,-85.0,-79.5
0.24800002574920654,-83.0,-78.0
0.25899994373321533,-83.0,-78.5
0.30400002002716064,-83.0,-78.5
0.281000018119812,-83.5,-78.5
0.2669999599456787,-83.5,-78.5
0.23399996757507324,-84.5,-79.0
0.19700002670288086,-85.0,-79.5
0.23199999332427979,-83.0,-78.5
0.2690000534057617,-83.5,-78.5
0.2849999666213989,-84.5,-78.5
0.2630000114440918,-84.0,-78.5
0.24800002574920654,-84.0,-78.5
0.2070000171661377,-85.0,-79.5
0.23000001907348633,-84.5,-79.5
0.2359999418258667,-83.0,-78.5
0.28299999237060547,-83.5,-78.5
0.2690000534057617,-84.0,-78.5
0.2710000276565552,-84.0,-79.0
0.2979999780654907,-84.5,-79.0
0.27699995040893555,-82.5,-78.5
0.2380000352859497,-82.5,-78.0
0.24800002574920654,-83.0,-78.5
0.26100003719329834,-84.5,-79.5
0.29600000381469727,-83.5,-78.5
0.24399995803833008,-83.0,-78.5
0.21700000762939453,-83.0,-78.5
0.25,-83.0,-78.5
0.2239999771118164,-83.0,-78.5
0.24600005149841309,-83.0,-79.0
0.29600000381469727,-83.5,-79.0
0.2849999666213989,-83.5,-78.5
0.25899994373321533,-82.5,-78.5
0.2070000171661377,-82.5,-78.5
0.22800004482269287,-82.5,-78.5
0.25,-82.5,-78.0
0.25,-83.5,-79.0
0.2869999408721924,-83.0,-78.5
0.2690000534057617,-83.0,-78.5
0.22800004482269287,-82.5,-78.5
0.26499998569488525,-83.0,-78.5
0.2109999656677246,-83.5,-78.5
0.24399995803833008,-84.0,-79.5
0.2710000276565552,-83.5,-79.5
0.2869999408721924,-82.5,-78.5
0.27699995040893555,-83.5,-78.5
0.2569999694824219,-83.5,-78.5
0.2109999656677246,-84.5,-79.5
0.24600005149841309,-84.5,-79.5
0.26100003719329834,-83.5,-79.0
0.2890000343322754,-83.0,-78.5
0.27300000190734863,-83.5,-78.5
0.27699995040893555,-83.5,-78.5
0.24600005149841309,-84.0,-79.0
0.20899999141693115,-84.5,-79.5
0.26499998569488525,-83.5,-79.0
0.2569999694824219,-82.5,-78.5
0.30400002002716064,-83.0,-78.5
0.27900004386901855,-83.5,-78.5
0.27900004386901855,-83.5,-78.5
0.25199997425079346,-83.5,-78.5
0.24199998378753662,-85.0,-79.5
0.2749999761581421,-83.0,-79.0
0.29100000858306885,-84.0,-79.5
0.2710000276565552,-83.0,-78.5
0.24399995803833008,-83.0,-78.5
0.21500003337860107,-82.5,-78.5
0.2380000352859497,-82.5,-78.0
0.2539999485015869,-83.0,-78.5
0.24800002574920654,-83.0,-78.5
0.2849999666213989,-83.5,-78.5
0.30799996852874756,-83.0,-78.5
0.25899994373321533,-84.0,-79.0
0.22800004482269287,-84.0,-79.0
0.2690000534057617,-84.0,-79.0
0.23000001907348633,-82.5,-78.0
0.2630000114440918,-83.0,-78.5
0.30799996852874756,-83.0,-78.5
0.26499998569488525,-83.5,-78.5
0.2630000114440918,-83.5,-78.5
0.24399995803833008,-83.5,-78.5
0.25899994373321533,-84.5,-79.5
0.26499998569488525,-83.5,-79.5
0.281000018119812,-83.0,-79.0
0.2940000295639038,-83.0,-78.5
0.24000000953674316,-82.5,-78.5
0.22800004482269287,-83.0,-78.5
0.2690000534057617,-83.5,-78.5
