diff,fp,rx
0.12399992942810067,-80.5,-78.5
0.11200008392333993,-80.5,-78.5
0.12200007438659677,-80.5,-78.5
0.07799992561340341,-80.5,-78.0
0.04700002670288095,-80.5,-78.5
0.06499991416931161,-81.0,-78.5
0.05300006866455087,-81.0,-78.5
0.03400001525878915,-81.5,-78.5
0.04499993324279794,-81.0,-78.5
0.04499993324279794,-81.5,-79.0
0.05300006866455087,-82.0,-78.5
0.04499993324279794,-81.5,-78.5
0.0890000820159913,-81.0,-79.0
0.06700000762939462,-80.5,-78.5
0.06700000762939462,-80.5,-78.5
0.1020000934600831,-80.0,-78.5
0.0909999370574952,-80.5,-78.5
0.1169999599456788,-80.5,-78.5
0.13600001335144052,-81.5,-79.0
0.09799990653991708,-81.5,-78.5
0.13099989891052255,-81.5,-79.0
0.11399993896484384,-80.5,-78.5
0.12600002288818368,-80.5,-78.5
0.1429999828338624,-80.5,-78.5
0.11200008392333993,-80.5,-78.5
0.08399996757507333,-80.5,-78.5
0.08000001907348642,-80.5,-78.5
0.0760000705718995,-81.0,-78.5
0.08000001907348642,-81.0,-78.5
0.05099997520446786,-82.0,-78.5
0.05300006866455087,-82.0,-79.0
0.04499993324279794,-81.5,-78.5
0.04700002670288095,-82.0,-78.5
0.05799994468688974,-82.0,-78.5
0.06700000762939462,-80.5,-78.5
0.07799992561340341,-80.5,-78.5
0.10000000000000009,-80.5,-78.5
0.0890000820159913,-80.0,-78.5
0.08699998855590829,-80.0,-78.5
0.0890000820159913,-80.5,-78.5
0.0909999370574952,-80.5,-78.5
0.1429999828338624,-81.0,-79.0
0.14099988937377939,-80.5,-78.5
0.09600005149841317,-81.5,-79.0
0.11200008392333993,-81.5,-79.0
0.1429999828338624,-81.5,-79.0
0.12900004386901864,-81.5,-79.0
0.13099989891052255,-81.0,-78.5
0.11900005340576181,-80.5,-78.0
0.1339999198913575,-80.5,-78.0
0.05600008964538583,-80.5,-78.0
0.08200011253356942,-81.0,-78.5
0.06499991416931161,-81.0,-78.5
0.05300006866455087,-81.5,-78.5
0.03600010871887216,-82.0,-79.0
0.04199991226196298,-81.5,-78.5
0.06499991416931161,-82.0,-78.5
0.08000001907348642,-82.0,-78.5
0.0909999370574952,-81.0,-78.5
0.0909999370574952,-80.5,-78.0
0.09600005149841317,-80.5,-78.5
0.10699996948242196,-80.5,-78.5
0.11200008392333993,-80.0,-78.5
0.09799990653991708,-80.5,-78.5
0.12399992942810067,-81.0,-79.0
0.12600002288818368,-80.5,-78.5
0.0890000820159913,-81.5,-78.5
0.12900004386901864,-81.5,-79.0
0.11900005340576181,-81.5,-79.0
0.14099988937377939,-81.5,-79.0
0.1169999599456788,-81.5,-79.0
0.1169999599456788,-81.5,-78.5
0.03600010871887216,-81.0,-78.5
0.11200008392333993,-80.5,-78.5
0.08000001907348642,-80.5,-78.0
0.09300003051757821,-80.5,-78.0
0.037999963760376065,-80.5,-78.0
0.08000001907348642,-81.0,-78.5
0.06199989318847665,-81.0,-78.5
0.05300006866455087,-81.5,-78.5
0.03400001525878915,-81.5,-78.5
0.05799994468688974,-80.5,-78.5
0.06199989318847665,-80.5,-79.0
0.07300004959106454,-80.5,-78.5
0.05300006866455087,-80.5,-78.5
0.07300004959106454,-80.0,-78.5
0.0890000820159913,-80.0,-78.5
0.06900010108947763,-80.5,-78.5
0.08699998855590829,-80.5,-79.0
0.10000000000000009,-80.5,-79.0
0.10000000000000009,-80.5,-78.5
0.0890000820159913,-81.0,-79.0
0.09799990653991708,-80.5,-78.5
0.11399993896484384,-81.0,-78.5
0.11900005340576181,-81.0,-78.5
0.09600005149841317,-81.5,-79.0
0.10999999046325692,-82.0,-79.0
0.09600005149841317,-81.5,-79.0
0.11900005340576181,-81.5,-79.0
