diff,fp,rx
0.09200019836425799,-81.0,-79.5
0.055000019073486506,-81.0,-79.0
0.06199998855590838,-82.0,-79.0
0.05900020599365252,-81.0,-79.5
0.027000141143799006,-81.5,-79.0
0.06199998855590838,-81.0,-79.5
0.05699987411499041,-80.5,-79.5
0.07799978256225604,-81.5,-79.0
0.12000007629394549,-80.5,-79.0
0.1089999198913576,-80.5,-79.5
0.10199995040893572,-81.0,-79.0
0.08500022888183612,-81.0,-79.0
0.05699987411499041,-81.0,-79.5
-0.012999820709228338,-82.0,-79.0
0.04499979019165057,-81.0,-79.5
0.05699987411499041,-80.5,-79.5
0.11800022125244158,-81.0,-79.0
0.12700004577636737,-80.5,-79.0
0.12299985885620135,-80.5,-79.0
0.10199995040893572,-81.5,-79.0
0.07099981307983416,-80.5,-79.0
0.0660001754760744,-81.0,-79.5
0.0029999732971193183,-82.5,-79.5
0.04999990463256854,-81.0,-79.5
0.02000017166137713,-81.0,-79.5
0.08000011444091815,-81.5,-79.0
0.09699983596801776,-80.5,-79.0
0.08800001144409197,-81.0,-79.0
0.1089999198913576,-81.5,-79.0
0.12299985885620135,-80.5,-79.5
0.07799978256225604,-80.5,-79.0
0.05900020599365252,-81.5,-79.5
0.03799982070922869,-81.0,-79.5
0.04800004959106463,-81.5,-79.0
0.08800001144409197,-80.5,-79.0
0.07799978256225604,-80.5,-79.5
0.10199995040893572,-81.0,-79.5
0.12500019073486346,-81.5,-79.0
0.082999897003174,-80.5,-79.0
0.07099981307983416,-81.0,-79.5
0.10600013732910174,-82.0,-79.0
0.041000080108642756,-81.0,-79.5
0.028999996185302912,-81.0,-79.5
0.06899995803833026,-81.5,-79.0
0.07599992752075213,-80.5,-79.5
0.09699983596801776,-81.0,-79.5
0.12000007629394549,-81.0,-79.0
0.1089999198913576,-80.5,-79.0
0.082999897003174,-81.0,-79.0
0.08800001144409197,-81.5,-79.0
0.04499979019165057,-81.0,-79.5
0.0029999732971193183,-81.0,-79.0
0.028999996185302912,-81.0,-79.0
0.041000080108642756,-80.5,-79.5
0.11300010681152362,-81.0,-79.0
0.08500022888183612,-81.0,-79.0
0.07799978256225604,-80.5,-79.5
0.09200019836425799,-80.5,-79.5
0.08000011444091815,-81.5,-79.0
0.07799978256225604,-81.0,-79.0
0.009999942779541193,-81.5,-79.5
0.023999881744384943,-81.0,-79.0
0.06199998855590838,-81.5,-79.5
0.07099981307983416,-80.5,-79.5
0.11599988937377947,-80.5,-79.0
0.11300010681152362,-81.0,-79.0
0.14099998474121112,-80.5,-79.0
0.09900016784667987,-81.0,-79.0
0.1109997749328615,-81.5,-79.0
-0.003999996185302557,-82.0,-79.0
0.041000080108642756,-81.0,-79.5
0.04499979019165057,-80.5,-79.5
0.08500022888183612,-81.5,-79.0
0.07799978256225604,-80.5,-79.5
0.11300010681152362,-81.0,-79.0
0.12700004577636737,-81.0,-79.0
0.11300010681152362,-80.5,-79.5
0.08999986648559588,-81.0,-79.5
0.04299993515014666,-82.5,-79.5
0.028999996185302912,-81.0,-79.5
0.016999912261963068,-81.0,-79.5
0.055000019073486506,-81.5,-79.0
0.08000011444091815,-80.5,-79.5
0.1089999198913576,-81.0,-79.0
0.11300010681152362,-80.5,-79.0
0.10399980545043963,-81.0,-79.5
0.08999986648559588,-81.5,-79.5
0.08000011444091815,-80.5,-79.5
-0.0020001411437986505,-82.5,-79.0
0.0029999732971193183,-81.5,-79.5
0.022000026702881037,-81.0,-79.5
0.06199998855590838,-81.5,-79.0
0.08800001144409197,-81.0,-79.5
0.09499998092651385,-80.5,-79.5
0.09699983596801776,-81.5,-79.0
0.07599992752075213,-81.0,-79.5
0.09900016784667987,-80.5,-79.5
