diff,fp,rx
0.07900004386901838,-81.5,-79.0
0.09600000381469709,-80.5,-79.0
0.056000041961669744,-81.0,-79.0
0.099999952316284,-80.5,-79.0
0.03900008201599103,-80.5,-79.0
0.0720000743865965,-81.0,-79.0
0.03499989509582502,-80.0,-79.0
0.056000041961669744,-81.5,-79.0
0.007000017166137518,-80.5,-79.0
0.07900004386901838,-81.5,-79.0
0.023000049591064275,-80.5,-79.0
0.020999956130981268,-81.5,-79.0
0.027999925613403143,-80.5,-79.0
0.04900007247924787,-81.0,-79.0
0.05799989700317365,-80.5,-79.0
0.05999999046325666,-81.0,-79.0
0.04900007247924787,-80.0,-78.5
0.06300001144409162,-81.5,-79.0
0.04600005149841291,-80.5,-79.0
0.024999904632568182,-82.5,-79.0
0.05300002098083478,-80.5,-79.0
0.0439999580383299,-81.0,-79.0
0.0980000972747801,-80.5,-79.0
0.027999925613403143,-81.5,-79.0
0.05300002098083478,-81.5,-79.0
0.07699995040893537,-81.5,-79.0
0.03900008201599103,-82.0,-79.0
0.03499989509582502,-81.0,-78.5
0.06500010490417463,-82.0,-79.0
0.09600000381469709,-81.0,-79.0
0.036999988555908025,-81.0,-78.5
0.08900003433227521,-81.0,-79.0
0.050999927520751775,-81.5,-79.0
0.10299997329711896,-81.0,-79.0
0.0439999580383299,-80.5,-79.0
0.06699995994567853,-81.0,-79.0
0.027999925613403143,-81.0,-79.5
0.10500006675720197,-81.0,-79.0
0.06300001144409162,-80.5,-79.0
0.04900007247924787,-81.5,-79.0
0.09299998283386213,-80.5,-79.0
0.05799989700317365,-81.0,-78.5
0.11200003623962385,-80.5,-79.0
0.017999935150146307,-80.5,-78.5
0.1259999752044676,-80.5,-79.0
0.07500009536743146,-81.0,-79.0
0.11699991226196271,-80.5,-79.0
0.003999996185302557,-81.5,-79.5
0.1259999752044676,-80.5,-79.0
0.03900008201599103,-80.5,-79.0
0.14500002861022931,-81.0,-79.0
0.017999935150146307,-80.5,-79.0
0.11900000572204572,-81.0,-79.0
0.024999904632568182,-80.5,-79.0
0.10500006675720197,-81.5,-79.5
0.023000049591064275,-80.5,-79.0
0.0439999580383299,-81.5,-79.0
0.03200011253356916,-80.5,-79.0
0.06699995994567853,-81.5,-79.0
0.027999925613403143,-80.5,-79.0
0.05300002098083478,-81.0,-79.0
0.05999999046325666,-80.5,-79.5
0.06300001144409162,-80.5,-79.0
0.042000102996825994,-80.5,-79.0
0.020999956130981268,-80.5,-79.0
0.03000001907348615,-82.5,-79.0
0.07699995040893537,-80.0,-78.5
0.036999988555908025,-82.5,-79.0
0.027999925613403143,-80.5,-79.0
0.03000001907348615,-82.5,-79.0
0.0699999809265135,-80.5,-78.5
0.03900008201599103,-82.0,-79.0
0.08399991989135724,-80.5,-79.0
0.04600005149841291,-81.5,-79.0
0.10299997329711896,-80.5,-79.0
0.03499989509582502,-81.5,-79.0
0.0699999809265135,-81.5,-79.0
0.07900004386901838,-81.0,-78.5
0.06699995994567853,-81.0,-78.5
0.050999927520751775,-81.0,-79.0
0.0439999580383299,-82.0,-79.0
0.11900000572204572,-80.5,-79.0
0.024999904632568182,-81.0,-78.5
0.10999994277954084,-81.0,-79.0
0.03499989509582502,-81.5,-79.5
0.10699992179870588,-81.0,-79.0
0.017999935150146307,-81.0,-79.5
0.05300002098083478,-81.5,-79.0
0.08200006484985334,-80.5,-79.0
0.06300001144409162,-82.0,-79.5
0.099999952316284,-80.5,-79.0
0.0720000743865965,-81.5,-79.5
0.099999952316284,-81.0,-79.0
0.06699995994567853,-80.5,-79.0
0.05799989700317365,-81.5,-79.0
0.09600000381469709,-80.5,-79.0
0.023000049591064275,-81.0,-79.0
0.11200003623962385,-81.0,-79.0
0.06500010490417463,-80.5,-79.0
0.04900007247924787,-81.0,-79.0
