diff,fp,rx
0.07700014114379883,-80.5,-79.5
0.053999900817871094,-81.0,-79.5
0.07399988174438477,-82.0,-79.0
0.04500007629394531,-82.0,-79.5
0.0989999771118164,-81.0,-79.0
0.11499977111816406,-80.5,-79.5
0.12200021743774414,-80.5,-79.5
0.11299991607666016,-81.0,-79.0
0.07899999618530273,-82.0,-79.5
0.06099987030029297,-81.0,-79.0
0.0019998550415039062,-81.0,-80.0
0.10799980163574219,-81.5,-80.0
0.07200002670288086,-81.0,-79.5
0.08799982070922852,-81.5,-79.0
0.07899999618530273,-81.5,-79.0
0.10400009155273438,-81.0,-78.5
0.05200004577636719,-81.0,-79.0
0.026999950408935547,-80.5,-79.5
0.05200004577636719,-81.5,-79.5
0.032000064849853516,-82.0,-79.0
0.07000017166137695,-82.0,-79.5
0.11299991607666016,-81.0,-79.0
0.11499977111816406,-81.0,-79.5
0.11499977111816406,-80.5,-79.0
0.0970001220703125,-80.5,-79.0
0.05000019073486328,-81.0,-79.0
-0.005000114440917969,-82.5,-79.0
0.01399993896484375,-81.5,-79.5
0.09000015258789062,-80.5,-79.5
0.0840001106262207,-80.5,-79.0
0.06300020217895508,-81.5,-79.5
0.0840001106262207,-81.5,-79.0
0.09000015258789062,-80.5,-79.0
0.05000019073486328,-80.5,-79.5
0.08599996566772461,-80.5,-79.0
0.03399991989135742,-82.5,-79.0
0.0840001106262207,-81.5,-79.0
0.0840001106262207,-81.0,-79.5
0.0970001220703125,-80.5,-79.0
0.09000015258789062,-81.0,-79.0
0.09000015258789062,-81.0,-79.0
0.05200004577636719,-80.5,-79.5
-0.015999794006347656,-81.0,-80.0
0.015999794006347656,-81.5,-79.5
0.06300020217895508,-82.0,-79.0
0.08099985122680664,-82.0,-79.5
0.11499977111816406,-81.0,-79.0
0.10799980163574219,-80.5,-79.0
0.13299989700317383,-81.0,-79.0
0.05000019073486328,-81.5,-79.5
0.02299976348876953,-81.0,-79.5
0.018000125885009766,-81.5,-79.5
0.08799982070922852,-81.0,-79.0
0.07899999618530273,-82.0,-79.5
0.10400009155273438,-80.5,-79.0
0.0989999771118164,-80.5,-79.0
0.11999988555908203,-80.5,-79.0
0.03599977493286133,-81.0,-79.0
-0.012000083923339844,-82.0,-79.0
0.09299993515014648,-81.0,-79.5
0.09299993515014648,-81.0,-79.5
0.0970001220703125,-81.0,-79.0
0.08599996566772461,-81.5,-79.0
0.11299991607666016,-80.5,-79.0
0.026999950408935547,-80.5,-79.5
0.03399991989135742,-81.0,-79.0
0.015999794006347656,-82.5,-79.5
0.0560002326965332,-81.5,-79.5
0.10599994659423828,-80.5,-79.5
0.10400009155273438,-80.5,-79.0
0.0840001106262207,-81.0,-79.0
0.07399988174438477,-82.0,-79.5
0.06300020217895508,-80.5,-79.0
0.01100015640258789,-80.5,-79.5
0.032000064849853516,-82.0,-79.0
0.02299976348876953,-82.0,-79.5
0.09499979019165039,-81.0,-79.5
0.0970001220703125,-80.5,-79.0
0.09000015258789062,-81.5,-79.0
0.0840001106262207,-81.0,-79.0
0.07899999618530273,-80.5,-79.0
0.018000125885009766,-81.0,-79.5
0.05200004577636719,-82.0,-79.0
0.01399993896484375,-82.0,-79.5
0.10599994659423828,-81.0,-79.5
0.09299993515014648,-80.5,-79.0
0.11499977111816406,-80.5,-79.0
0.09000015258789062,-81.0,-79.0
0.015999794006347656,-82.0,-79.0
0.03800010681152344,-80.5,-79.5
0.05200004577636719,-81.5,-79.5
0.02299976348876953,-82.5,-79.5
0.0840001106262207,-81.0,-79.5
0.08799982070922852,-80.5,-79.0
0.0989999771118164,-81.0,-79.0
0.08599996566772461,-81.5,-79.0
0.05000019073486328,-80.5,-79.0
0.02500009536743164,-81.0,-79.5
0.032000064849853516,-82.5,-79.0
