diff,fp,rx
-0.0009999871253967285,-81.5,-78.5
0.02799999713897705,-81.5,-78.5
0.1390000581741333,-80.0,-78.0
0.11000001430511475,-81.0,-78.5
0.04900002479553223,-81.5,-78.5
0.05900001525878906,-80.5,-78.0
0.06099998950958252,-81.0,-78.5
0.050999999046325684,-81.5,-78.5
0.06700003147125244,-81.0,-78.0
0.08599996566772461,-81.5,-78.0
0.05299997329711914,-81.0,-78.5
0.06299996376037598,-80.0,-77.5
0.05299997329711914,-81.5,-78.5
0.04900002479553223,-80.5,-78.0
0.031999945640563965,-80.5,-78.0
0.018000006675720215,-82.0,-78.5
0.15400004386901855,-80.5,-78.5
0.11300003528594971,-80.0,-78.0
0.050999999046325684,-82.0,-79.0
0.0549999475479126,-80.5,-78.0
0.042999982833862305,-80.5,-78.0
0.02799999713897705,-81.5,-78.5
0.06099998950958252,-81.0,-78.5
0.13100004196166992,-80.0,-78.0
0.11300003528594971,-80.5,-78.5
0.0549999475479126,-81.0,-78.5
0.07799994945526123,-80.0,-77.5
0.03400003910064697,-80.5,-78.0
0.02799999713897705,-81.5,-78.5
0.06700003147125244,-81.0,-78.5
0.14499998092651367,-81.0,-78.0
0.09599995613098145,-81.0,-78.5
0.0549999475479126,-81.5,-78.5
0.050999999046325684,-80.0,-77.5
0.06500005722045898,-81.0,-78.5
0.03799998760223389,-81.0,-78.5
0.0549999475479126,-80.5,-77.5
0.04900002479553223,-82.0,-78.5
0.09800004959106445,-80.5,-78.5
0.12300002574920654,-80.5,-78.0
0.04499995708465576,-81.5,-79.0
0.03799998760223389,-80.5,-78.0
0.0140000581741333,-80.5,-78.0
0.018000006675720215,-81.0,-78.0
0.08800005912780762,-81.0,-78.5
0.11000001430511475,-80.0,-78.0
0.03400003910064697,-81.5,-79.0
0.03400003910064697,-81.0,-78.5
0.029999971389770508,-80.5,-78.0
0.029999971389770508,-80.5,-78.0
0.029999971389770508,-81.0,-78.0
0.07500004768371582,-80.5,-78.5
0.125,-80.0,-78.5
0.050999999046325684,-81.5,-79.0
0.05299997329711914,-80.5,-78.0
0.042999982833862305,-80.5,-78.0
0.057000041007995605,-81.0,-78.5
0.0140000581741333,-81.0,-78.0
0.03799998760223389,-82.0,-79.0
0.12100005149841309,-80.0,-78.0
0.10199999809265137,-80.0,-78.0
0.003000020980834961,-81.5,-78.5
0.02199995517730713,-80.5,-78.0
0.008000016212463379,-82.0,-79.0
0.04100000858306885,-80.5,-78.0
0.06099998950958252,-81.5,-78.5
0.11899995803833008,-80.5,-78.5
0.11699998378753662,-80.5,-78.5
0.03799998760223389,-81.0,-78.5
0.029999971389770508,-80.5,-78.0
0.018000006675720215,-81.5,-78.5
0.024000048637390137,-80.5,-78.0
0.0549999475479126,-81.0,-78.0
0.07799994945526123,-81.0,-79.0
0.10599994659423828,-80.0,-78.0
0.05299997329711914,-81.5,-78.5
0.04100000858306885,-80.0,-77.5
0.03600001335144043,-81.5,-78.5
0.029999971389770508,-80.5,-78.0
0.07299995422363281,-80.5,-78.0
0.0549999475479126,-81.0,-78.5
0.11699998378753662,-80.0,-78.0
0.02799999713897705,-81.5,-78.5
0.04100000858306885,-80.5,-78.0
0.0549999475479126,-81.5,-78.5
0.06099998950958252,-80.0,-78.0
0.02799999713897705,-80.5,-77.5
0.03799998760223389,-81.5,-78.5
0.11000001430511475,-80.5,-78.0
0.08399999141693115,-80.0,-78.0
0.024000048637390137,-81.5,-78.5
0.06099998950958252,-80.0,-77.5
0.05299997329711914,-80.5,-78.0
0.024000048637390137,-81.5,-78.5
0.10000002384185791,-81.0,-78.0
0.0549999475479126,-80.5,-78.5
0.06099998950958252,-80.0,-78.0
0.04700005054473877,-81.0,-78.5
0.06299996376037598,-80.5,-78.0
0.04499995708465576,-81.5,-78.5
