diff,fp,rx
0.10699996948242196,-80.5,-78.5
0.11900005340576181,-81.0,-78.5
0.19800004959106454,-80.0,-78.5
0.12900004386901864,-81.5,-79.0
0.19100008010864267,-80.5,-78.5
0.13099989891052255,-81.5,-79.5
0.16699991226196298,-80.0,-78.5
0.12600002288818368,-81.5,-79.5
0.1599999427795411,-80.0,-78.0
0.12900004386901864,-81.5,-79.5
0.16500005722045907,-80.5,-78.0
0.13600001335144052,-81.5,-79.0
0.1429999828338624,-80.5,-78.5
0.12600002288818368,-81.5,-79.0
0.17699990272521982,-80.5,-78.5
0.1450000762939454,-81.5,-79.5
0.17699990272521982,-80.5,-78.5
0.15699992179870614,-81.0,-79.0
0.17200002670288095,-81.0,-78.5
0.13600001335144052,-81.0,-78.5
0.12900004386901864,-81.0,-78.5
0.16500005722045907,-80.5,-78.5
0.13099989891052255,-81.5,-78.5
0.14999995231628427,-81.0,-78.5
0.09799990653991708,-81.5,-78.5
0.17200002670288095,-81.5,-79.5
0.10999999046325692,-82.5,-79.0
0.1429999828338624,-80.5,-79.5
0.07300004959106454,-81.5,-79.0
0.10699996948242196,-81.5,-79.0
0.10999999046325692,-81.5,-78.5
0.09799990653991708,-81.5,-78.5
0.09300003051757821,-81.5,-78.5
0.11200008392333993,-82.0,-78.5
0.0890000820159913,-81.5,-78.5
0.08699998855590829,-80.5,-78.5
0.07799992561340341,-82.0,-78.5
0.0890000820159913,-81.0,-78.5
0.15299997329711923,-80.5,-78.5
0.05799994468688974,-81.0,-78.5
0.11399993896484384,-80.5,-78.5
0.08000001907348642,-81.0,-78.5
0.11399993896484384,-80.5,-78.5
0.05799994468688974,-81.5,-79.0
0.11399993896484384,-80.5,-78.5
0.08399996757507333,-82.0,-79.0
0.1339999198913575,-80.0,-78.5
0.08000001907348642,-81.5,-79.0
0.14800009727478036,-80.0,-78.0
0.10000000000000009,-81.5,-79.0
0.17399988174438485,-80.0,-78.5
0.08200011253356942,-81.5,-79.0
0.16699991226196298,-80.5,-78.5
0.10699996948242196,-82.0,-79.5
0.1840001106262208,-80.0,-78.0
0.13099989891052255,-81.5,-79.0
0.17699990272521982,-80.0,-78.5
0.1599999427795411,-81.0,-79.0
0.1429999828338624,-80.5,-78.5
0.16500005722045907,-81.0,-79.0
0.15299997329711923,-80.5,-78.5
0.17200002670288095,-80.5,-78.5
0.1599999427795411,-81.5,-79.0
0.13800010681152353,-81.0,-79.5
0.17899999618530282,-80.5,-78.5
0.1450000762939454,-81.0,-78.5
0.16699991226196298,-80.5,-78.5
0.13600001335144052,-81.5,-79.0
0.16699991226196298,-80.5,-78.5
0.14999995231628427,-80.5,-78.5
0.0909999370574952,-81.5,-78.5
0.12200007438659677,-81.5,-79.5
0.07300004959106454,-82.0,-79.0
0.11399993896484384,-81.0,-78.5
0.08699998855590829,-81.0,-78.5
0.07300004959106454,-81.5,-78.5
0.09600005149841317,-81.0,-78.5
0.07099995613098153,-82.5,-79.0
0.13800010681152353,-80.0,-78.5
0.07799992561340341,-81.5,-78.5
0.0909999370574952,-82.0,-78.5
0.14999995231628427,-80.0,-78.5
0.04000005722045907,-82.5,-79.0
0.15699992179870614,-80.0,-78.5
0.10000000000000009,-80.5,-78.5
0.12600002288818368,-80.5,-78.5
0.12600002288818368,-80.5,-78.5
0.09300003051757821,-81.0,-79.0
0.17200002670288095,-80.0,-78.5
0.06700000762939462,-82.0,-79.5
0.11900005340576181,-80.0,-78.5
0.10500011444091806,-80.5,-79.0
0.1339999198913575,-80.5,-78.5
0.08399996757507333,-81.0,-79.0
0.10999999046325692,-80.5,-78.5
0.1169999599456788,-81.0,-79.0
0.1429999828338624,-80.5,-78.5
0.1620000362396241,-80.5,-78.5
0.11900005340576181,-81.0,-78.5
0.2010000705718995,-80.5,-78.5
