文件名,diff是否满足高斯分布,diff均值,diff方差,fp是否满足高斯分布,fp均值,fp方差,rx是否满足高斯分布,rx均值,rx方差
nlos2-4.0m.csv,否,0.1004,0.0020,否,-80.9694,0.2542,否,-78.7959,0.0604
nlos2-4.2m.csv,是,0.0464,0.0010,否,-81.0867,0.3879,否,-79.1480,0.0674
nlos2-4.4m.csv,是,0.0546,0.0004,否,-81.1276,0.3077,否,-79.1429,0.0867
nlos2-4.6m.csv,是,0.0719,0.0016,否,-81.0556,0.2924,否,-78.9747,0.0574
nlos2-4.8m.csv,是,0.0666,0.0007,否,-81.0354,0.3548,否,-79.0657,0.0588
nlos2-5.0m.csv,是,0.0691,0.0008,否,-81.0408,0.2738,否,-79.0459,0.0770
nlos2-5.2m.csv,是,0.0612,0.0010,否,-81.0152,0.2144,否,-79.3081,0.0591
nlos2-5.4m.csv,是,0.0599,0.0004,否,-81.0773,0.2234,否,-78.9485,0.0901
nlos2-5.6m.csv,是,0.0613,0.0007,否,-81.0657,0.2659,否,-79.2929,0.0607
nlos2-5.8m.csv,是,0.0712,0.0017,否,-81.0464,0.1705,否,-79.2629,0.0726
nlos2-6.0m.csv,否,0.0691,0.0012,否,-81.1566,0.3568,否,-79.2323,0.0824
nlos2-6.2m.csv,是,0.0785,0.0004,否,-81.4286,0.1378,否,-79.4490,0.0637
nlos2-6.4m.csv,是,0.0527,0.0011,否,-81.1224,0.2350,否,-79.2806,0.0667
nlos2-6.6m.csv,是,0.0611,0.0006,否,-81.3050,0.3045,否,-79.3050,0.0845
nlos2-6.8m.csv,是,0.0484,0.0004,否,-81.3571,0.2602,否,-79.3112,0.0945
nlos2-7.0m.csv,是,0.0506,0.0006,否,-81.4227,0.1976,否,-79.4588,0.0808
nlos2-7.2m.csv,是,0.0471,0.0010,否,-81.2222,0.2688,否,-79.2475,0.0625
nlos2-7.4m.csv,是,0.0413,0.0005,否,-81.2879,0.4197,否,-79.2980,0.0804
nlos2-7.6m.csv,是,0.0540,0.0005,否,-81.1888,0.2424,否,-79.3112,0.0639
nlos2-7.8m.csv,是,0.0539,0.0004,否,-81.3100,0.3039,否,-79.2650,0.0773
nlos3-0.8m.csv,是,0.0454,0.0006,否,-80.9700,0.4341,否,-78.1750,0.2019
nlos3-1.0m.csv,否,0.0472,0.0007,否,-80.8350,0.3753,否,-78.1500,0.1275
nlos3-1.2m.csv,是,0.0304,0.0010,否,-80.8131,0.3969,否,-78.5758,0.1534
nlos3-1.4m.csv,是,0.0464,0.0015,否,-80.8434,0.3467,否,-78.5556,0.1156
nlos3-1.6m.csv,是,0.0624,0.0013,否,-81.1082,0.3723,否,-78.6340,0.1625
nlos3-1.8m.csv,是,0.0917,0.0023,否,-81.0408,0.4065,否,-78.4184,0.0852
nlos3-2.0m.csv,是,0.0934,0.0003,否,-80.9293,0.3738,否,-78.4949,0.0985
nlos3-2.2m.csv,是,0.0452,0.0011,否,-80.8265,0.2505,否,-78.9490,0.0688
nlos3-2.4m.csv,是,0.1268,0.0013,否,-80.9700,0.4091,否,-78.7000,0.1300
nlos3-2.6m.csv,是,0.0758,0.0011,否,-80.9040,0.3368,否,-78.8182,0.0730
nlos3-2.8m.csv,是,0.0653,0.0013,否,-81.0309,0.2413,否,-78.9794,0.0460
nlos3-3.0m.csv,是,0.0654,0.0014,否,-81.0606,0.3145,否,-79.0152,0.0680
nlos3-3.2m.csv,是,0.0921,0.0008,否,-81.0051,0.3560,否,-78.9596,0.0438
nlos3-3.4m.csv,是,0.0705,0.0017,否,-81.2100,0.2559,否,-78.9950,0.0525
nlos3-3.6m.csv,是,0.0911,0.0012,否,-81.0612,0.3483,否,-78.8418,0.0694
nlos3-3.8m.csv,是,0.0771,0.0010,否,-81.1768,0.2440,否,-79.0606,0.0266
nlos3-4.0m.csv,是,0.0979,0.0017,否,-80.9278,0.2061,否,-78.8608,0.0760
nlos3-4.2m.csv,是,0.0696,0.0009,否,-81.0625,0.3294,否,-79.0729,0.0311
nlos3-4.4m.csv,是,0.0615,0.0005,否,-81.0663,0.2788,否,-79.1480,0.0623
nlos3-4.6m.csv,否,0.0861,0.0012,否,-81.4000,0.2550,否,-79.0500,0.0525
nlos3-4.8m.csv,是,0.0634,0.0005,否,-80.9949,0.2984,否,-79.0816,0.0444
nlos3-5.0m.csv,是,0.0572,0.0006,否,-81.1378,0.2591,否,-79.1684,0.0609
nlos3-5.2m.csv,否,0.0797,0.0014,否,-81.1378,0.2030,否,-79.0306,0.0399
nlos3-5.4m.csv,是,0.0724,0.0005,否,-81.3889,0.2503,否,-79.1616,0.0547
nlos3-5.6m.csv,是,0.0618,0.0008,否,-81.0556,0.2318,否,-79.3232,0.0571
nlos3-5.8m.csv,是,0.0805,0.0019,否,-80.9950,0.3175,否,-79.1400,0.0604
nlos3-6.0m.csv,是,0.0714,0.0006,否,-80.9897,0.2679,否,-79.0567,0.0767
nlos3-6.2m.csv,是,0.0661,0.0006,否,-81.0404,0.2307,否,-79.2929,0.0657
nlos3-6.4m.csv,是,0.0562,0.0014,否,-81.0400,0.3234,否,-79.1750,0.0569
nlos3-6.6m.csv,是,0.0433,0.0008,否,-81.0253,0.3100,否,-79.2020,0.0652
nlos3-6.8m.csv,是,0.0438,0.0006,否,-81.4040,0.3014,否,-79.3788,0.0762
nlos3-7.0m.csv,是,0.0599,0.0012,否,-81.4388,0.2309,否,-79.3520,0.0878
nlos3-7.2m.csv,是,0.0416,0.0007,否,-81.2938,0.2668,否,-79.3144,0.0944
nlos3-7.4m.csv,是,0.0589,0.0004,否,-81.1959,0.3173,否,-79.2835,0.0614
nlos3-7.6m.csv,是,0.0414,0.0007,否,-81.3687,0.2454,否,-79.3131,0.0686
nlos3-7.8m.csv,是,0.0570,0.0010,否,-81.4300,0.3251,否,-79.2000,0.1050
