文件名,diff均值,fp均值,rx均值
nlos2-5.6m.csv,0.0613,-81.0850,-79.2950
nlos2-5.8m.csv,0.0684,-81.0900,-79.2750
nlos2-6.0m.csv,0.0684,-81.1750,-79.2300
nlos2-6.2m.csv,0.0791,-81.4400,-79.4350
nlos2-6.4m.csv,0.0519,-81.1600,-79.2850
nlos2-6.6m.csv,0.0611,-81.3050,-79.3050
nlos2-6.8m.csv,0.0484,-81.3900,-79.3050
nlos2-7.0m.csv,0.0491,-81.4500,-79.5100
nlos2-7.2m.csv,0.0475,-81.2200,-79.2400
nlos2-7.4m.csv,0.0420,-81.2800,-79.2950
nlos2-7.6m.csv,0.0534,-81.1800,-79.3050
nlos2-7.8m.csv,0.0539,-81.3100,-79.2650
nlos3-0.8m.csv,0.0454,-80.9700,-78.1750
nlos3-1.0m.csv,0.0472,-80.8350,-78.1500
nlos3-1.2m.csv,0.0315,-80.8050,-78.5750
nlos3-1.4m.csv,0.0462,-80.8650,-78.5600
nlos3-1.6m.csv,0.0628,-81.1250,-78.6550
nlos3-1.8m.csv,0.0909,-81.0650,-78.4350
nlos3-2.0m.csv,0.0934,-80.9450,-78.5050
nlos3-2.2m.csv,0.0453,-80.8600,-78.9500
nlos3-2.4m.csv,0.1268,-80.9700,-78.7000
nlos3-2.6m.csv,0.0752,-80.9250,-78.8200
nlos3-2.8m.csv,0.0643,-81.0800,-78.9850
nlos3-3.0m.csv,0.0654,-81.0800,-79.0150
nlos3-3.2m.csv,0.0911,-81.0100,-78.9600
nlos3-3.4m.csv,0.0705,-81.2100,-78.9950
nlos3-3.6m.csv,0.0905,-81.1000,-78.8500
nlos3-3.8m.csv,0.0773,-81.1700,-79.0550
nlos3-4.0m.csv,0.0949,-80.9750,-78.8700
nlos3-4.2m.csv,0.0678,-81.1050,-79.0650
nlos3-4.4m.csv,0.0613,-81.0900,-79.1600
nlos3-4.6m.csv,0.0861,-81.4000,-79.0500
nlos3-4.8m.csv,0.0631,-81.0350,-79.0850
nlos3-5.0m.csv,0.0568,-81.1750,-79.1700
nlos3-5.2m.csv,0.0774,-81.1650,-79.0350
nlos3-5.4m.csv,0.0721,-81.4050,-79.1650
nlos3-5.6m.csv,0.0618,-81.0750,-79.3250
nlos3-5.8m.csv,0.0805,-80.9950,-79.1400
nlos3-6.0m.csv,0.0691,-81.0450,-79.0750
nlos3-6.2m.csv,0.0657,-81.0600,-79.2950
nlos3-6.4m.csv,0.0562,-81.0400,-79.1750
nlos3-6.6m.csv,0.0431,-81.0450,-79.2000
nlos3-6.8m.csv,0.0438,-81.4050,-79.3700
nlos3-7.0m.csv,0.0597,-81.4300,-79.5100
nlos3-7.2m.csv,0.0406,-81.3450,-79.3150
nlos3-7.4m.csv,0.0580,-81.2450,-79.3550
nlos3-7.6m.csv,0.0408,-81.3850,-79.3150
nlos3-7.8m.csv,0.0570,-81.4300,-79.2000
