文件名,离群值序号,diff,fp,rx
nlos1-2.6m.csv,147,0.4869998931884765,-94.0,-80.0
nlos1-2.6m.csv,167,1.4009999275207519,-82.5,-79.5
nlos1-2.6m.csv,171,0.13200011253356925,-93.5,-79.5
nlos1-2.6m.csv,173,0.7280000686645507,-95.5,-80.0
nlos1-2.6m.csv,176,0.12699999809265128,-94.0,-80.0
nlos1-2.6m.csv,183,0.20900001525878897,-96.5,-80.0
nlos1-2.8m.csv,109,0.49999995231628436,-94.5,-79.5
nlos1-2.8m.csv,120,0.5239998817443849,-93.5,-79.0
nlos1-2.8m.csv,152,0.44600005149841326,-92.0,-79.5
nlos1-2.8m.csv,165,0.5329999446868898,-89.0,-79.0
nlos1-2.8m.csv,168,0.03699989318847674,-90.0,-79.5
nlos1-2.8m.csv,171,0.47900004386901873,-89.5,-79.5
nlos1-2.8m.csv,172,0.4909998893737795,-88.0,-79.5
nlos1-2.8m.csv,186,0.5329999446868898,-88.0,-79.5
nlos1-2.8m.csv,187,0.5120000362396242,-88.5,-79.5
nlos1-2.8m.csv,188,0.029999923706054865,-88.0,-79.5
nlos1-2.8m.csv,198,0.018000078201294123,-88.5,-79.5
nlos1-3.0m.csv,40,0.17600011825561523,-86.5,-79.5
nlos1-3.0m.csv,49,0.17600011825561523,-85.0,-88.0
nlos1-3.0m.csv,55,0.13100004196166992,-86.0,-79.5
nlos1-3.0m.csv,57,0.43199992179870605,-86.0,-79.5
nlos1-3.0m.csv,62,0.11999988555908203,-86.0,-79.5
nlos1-3.0m.csv,63,0.24900007247924805,-86.5,-80.0
nlos1-3.2m.csv,155,1.2159998893737791,-83.0,-79.5
nlos1-3.2m.csv,156,1.2010000228881834,-83.0,-79.5
nlos1-3.2m.csv,158,1.2140000343322752,-83.5,-79.5
nlos1-3.2m.csv,162,1.2070000648498533,-83.0,-80.0
nlos1-3.2m.csv,166,1.222999858856201,-83.5,-79.5
nlos1-3.2m.csv,192,1.1769998550415037,-85.0,-79.0
nlos1-3.2m.csv,195,1.2180002212524412,-83.5,-80.0
nlos1-3.2m.csv,220,0.18899993896484357,-87.0,-81.0
nlos1-3.2m.csv,247,0.1989999294281004,-88.0,-81.5
nlos1-3.4m.csv,208,0.3200000286102296,-86.5,-80.5
nlos1-3.4m.csv,241,0.2610000133514405,-86.0,-80.5
nlos1-3.4m.csv,250,0.27300009727478036,-86.0,-80.5
nlos1-3.6m.csv,221,0.15500011444091788,-88.5,-81.0
nlos1-3.8m.csv,25,0.16199989318847674,-83.5,-84.5
nlos1-3.8m.csv,220,0.1779999256134035,-92.0,-88.5
nlos1-4.0m.csv,89,0.1640000343322754,-89.0,-81.5
nlos1-4.0m.csv,215,2.4130001068115234,-96.0,-80.0
nlos1-4.0m.csv,218,3.2090001106262207,-97.5,-80.0
nlos1-4.0m.csv,219,4.0889997482299805,-94.0,-80.0
nlos1-4.0m.csv,220,4.211999893188477,-97.0,-80.0
nlos1-4.0m.csv,249,2.369999885559082,-94.5,-80.5
nlos1-4.0m.csv,252,2.379000186920166,-94.5,-80.5
nlos1-4.0m.csv,254,2.3590002059936523,-94.0,-80.0
nlos1-4.0m.csv,256,2.3289999961853027,-95.5,-80.0
nlos1-4.0m.csv,259,2.322999954223633,-95.0,-80.0
nlos1-4.0m.csv,261,2.3899998664855957,-94.5,-80.0
nlos1-4.0m.csv,264,2.388000011444092,-94.5,-80.0
nlos1-4.0m.csv,267,2.3899998664855957,-94.0,-80.5
nlos1-4.0m.csv,278,2.369999885559082,-94.0,-80.0
nlos1-4.0m.csv,281,2.38100004196167,-94.0,-80.0
nlos1-4.2m.csv,14,0.8460000038146971,-89.0,-80.0
nlos1-4.2m.csv,15,0.3830001831054686,-97.5,-80.0
nlos1-4.2m.csv,21,0.8339999198913572,-88.5,-80.0
nlos1-4.2m.csv,25,0.8120000839233397,-88.0,-80.0
nlos1-4.2m.csv,28,0.847999858856201,-89.5,-80.0
nlos1-4.2m.csv,29,0.8939998626708983,-89.0,-80.0
nlos1-4.2m.csv,30,0.852999973297119,-89.0,-80.0
nlos1-4.2m.csv,36,0.00499992370605451,-97.0,-80.0
nlos1-4.2m.csv,53,0.8120000839233397,-88.5,-79.5
nlos1-4.2m.csv,55,0.8170001983642576,-89.0,-80.0
nlos1-4.2m.csv,59,0.8359997749328612,-88.5,-80.0
nlos1-4.2m.csv,73,0.8100002288818358,-89.0,-80.0
nlos1-4.2m.csv,74,0.8149998664855955,-88.5,-80.0
nlos1-4.2m.csv,75,0.8199999809265135,-89.5,-80.0
nlos1-4.2m.csv,79,0.8460000038146971,-87.5,-80.0
nlos1-4.2m.csv,86,0.8100002288818358,-88.5,-79.5
nlos1-4.2m.csv,89,0.8289998054504393,-88.5,-80.0
nlos1-4.2m.csv,90,0.8170001983642576,-88.5,-80.0
nlos1-4.2m.csv,92,0.8240001678466795,-89.5,-80.0
nlos1-4.2m.csv,94,0.8599999427795408,-88.5,-80.0
nlos1-4.2m.csv,95,0.8219998359680174,-87.5,-80.0
nlos1-4.2m.csv,159,0.2099998474121092,-87.0,-84.0
nlos1-4.2m.csv,215,0.2959998130798338,-85.5,-87.5
nlos1-4.4m.csv,57,0.4689999580383297,-99.5,-81.0
nlos1-4.4m.csv,134,0.19499979019165004,-88.0,-79.0
nlos1-4.4m.csv,215,7.7370000839233395,-97.0,-80.0
nlos1-4.4m.csv,261,7.752999877929687,-87.5,-80.0
nlos1-4.6m.csv,124,0.6300000190734867,-87.0,-80.0
nlos1-4.6m.csv,133,0.09799995422363317,-91.0,-80.0
nlos1-4.6m.csv,143,0.5919999122619632,-85.5,-79.5
nlos1-4.8m.csv,59,0.778000068664551,-90.5,-81.0
nlos1-4.8m.csv,101,0.18600006103515643,-85.5,-79.0
nlos1-5.0m.csv,51,0.5869998931884766,-86.0,-80.0
nlos1-5.0m.csv,83,0.5619997978210449,-88.5,-80.5
nlos1-5.0m.csv,84,0.5619997978210449,-88.0,-80.0
nlos1-5.0m.csv,155,0.15600013732910156,-81.5,-86.5
nlos1-5.2m.csv,52,0.12100009918212873,-83.0,-82.5
nlos1-5.2m.csv,209,0.2770002365112303,-90.0,-80.0
nlos1-5.2m.csv,215,0.26899986267089826,-90.0,-79.5
nlos1-5.2m.csv,230,0.2580001831054686,-90.0,-80.0
nlos1-5.2m.csv,235,0.26899986267089826,-90.0,-80.0
nlos1-5.2m.csv,249,0.26700000762939435,-90.0,-80.0
nlos1-5.2m.csv,274,0.27399997711181623,-89.5,-79.5
nlos1-5.2m.csv,275,0.26899986267089826,-89.5,-80.0
nlos1-5.2m.csv,289,0.26700000762939435,-89.5,-80.0
nlos1-5.4m.csv,5,0.2579999923706051,-82.5,-79.0
nlos1-5.4m.csv,21,0.26200017929077113,-82.5,-79.0
nlos1-5.4m.csv,24,0.2760001182556149,-82.0,-79.0
nlos1-5.4m.csv,51,0.2760001182556149,-82.0,-79.0
nlos1-5.4m.csv,52,0.27199993133544886,-81.5,-79.0
nlos1-5.4m.csv,68,0.27399978637695277,-82.0,-79.0
