文件名,协方差矩阵
nlos2-6.0m.csv,"[[0.0012767950478756904, 0.010821982465609156, 0.003346971309546268], [0.010821982465609156, 0.390782828282829, 0.012373737373737377], [0.003346971309546268, 0.012373737373737377, 0.082929292929293]]"
nlos2-6.2m.csv,"[[0.00042785555869691863, -0.0010339289963847455, -0.0010948466772984981], [-0.0010339289963847455, 0.16303030303030322, 0.006161616161616166], [-0.0010948466772984981, 0.006161616161616166, 0.07401515151515167]]"
nlos2-6.4m.csv,"[[0.0011311803041644459, 0.008313947928072222, 0.0017583834522902366], [0.008313947928072222, 0.30242424242424165, -0.0031313131313131333], [0.0017583834522902366, -0.0031313131313131333, 0.06694444444444449]]"
nlos2-6.6m.csv,"[[0.0005769299867699021, 0.0034774676717893053, 0.002517876239738079], [0.0034774676717893053, 0.30755050505050524, 0.014621212121212113], [0.002517876239738079, 0.014621212121212113, 0.08532828282828296]]"
nlos2-6.8m.csv,"[[0.00042340001272201224, -0.004360913315204658, 0.0007031862422673389], [-0.004360913315204658, 0.3110101010101013, -0.03681818181818176], [0.0007031862422673389, -0.03681818181818176, 0.0954292929292931]]"
nlos2-7.0m.csv,"[[0.0007320334451598842, 0.0040893966501409345, 0.003854855575946846], [0.0040893966501409345, 0.24494949494949556, -0.034848484848484865], [0.003854855575946846, -0.034848484848484865, 0.33323232323232327]]"
nlos2-7.2m.csv,"[[0.0009813616224907415, 0.0031363617290150036, 0.002050503817471591], [0.0031363617290150036, 0.2692929292929299, -0.035656565656565636], [0.002050503817471591, -0.035656565656565636, 0.06808080808080799]]"
nlos2-7.4m.csv,"[[0.0005234442863252756, 0.0025583786434597443, 0.001028230671930795], [0.0025583786434597443, 0.42585858585858677, -0.015252525252525212], [0.001028230671930795, -0.015252525252525212, 0.0812878787878786]]"
nlos2-7.6m.csv,"[[0.0005686126600929389, 0.003644450409243806, 0.0015724737475616764], [0.003644450409243806, 0.24505050505050524, -0.004949494949494964], [0.0015724737475616764, -0.004949494949494964, 0.07017676767676784]]"
nlos2-7.8m.csv,"[[0.00044351358726638475, 0.0013291957643296992, 0.0016018667365565449], [0.0013291957643296992, 0.30696969696969634, 0.04580808080808076], [0.0016018667365565449, 0.04580808080808076, 0.07805555555555574]]"
nlos3-0.8m.csv,"[[0.0006211848695901769, 0.006008990587610187, 0.005030051280151712], [0.006008990587610187, 0.43848484848484937, 0.23005050505050503], [0.005030051280151712, 0.23005050505050503, 0.20391414141414171]]"
nlos3-1.0m.csv,"[[0.0007466136242968639, 0.004010403908864418, 0.0020626274624256174], [0.004010403908864418, 0.3790656565656561, 0.14368686868686845], [0.0020626274624256174, 0.14368686868686845, 0.1287878787878786]]"
nlos3-1.2m.csv,"[[0.0011624132148469785, 0.007582476885631833, 0.00045934530219646436], [0.007582476885631833, 0.40351010101010115, 0.14861111111111097], [0.00045934530219646436, 0.14861111111111097, 0.15340909090909075]]"
nlos3-1.4m.csv,"[[0.001515234421276332, 0.008315752485785824, -0.0019349490994154807], [0.008315752485785824, 0.39320707070707045, 0.08393939393939391], [-0.0019349490994154807, 0.08393939393939391, 0.11757575757575775]]"
nlos3-1.6m.csv,"[[0.0014360080202985462, 0.010159092569592024, 0.0014364639014908757], [0.010159092569592024, 0.4210858585858586, 0.1672979797979798], [0.0014364639014908757, 0.1672979797979798, 0.18532828282828273]]"
nlos3-1.8m.csv,"[[0.0022935858279537575, 0.01850353674455123, -0.003963130555971704], [0.01850353674455123, 0.4427020202020193, 0.05982323232323222], [-0.003963130555971704, 0.05982323232323222, 0.09926767676767695]]"
nlos3-2.0m.csv,"[[0.00033958355441650334, 0.0023133902838735876, -0.00029570081017234114], [0.0023133902838735876, 0.3984595959595961, 0.13159090909090904], [-0.00029570081017234114, 0.13159090909090904, 0.10856060606060629]]"
nlos3-2.2m.csv,"[[0.001056975728917168, 0.00588323496808909, -0.0006611108779907226], [0.00588323496808909, 0.3034343434343437, 0.05353535353535357], [-0.0006611108779907226, 0.05353535353535357, 0.0681818181818181]]"
nlos3-2.4m.csv,"[[0.0012876074494278962, 0.014441007748998775, 0.0029858562681410058], [0.014441007748998775, 0.4132323232323239, 0.12979797979797988], [0.0029858562681410058, 0.12979797979797988, 0.13131313131313113]]"
nlos3-2.6m.csv,"[[0.0011653202550817893, 0.009811862731220748, 0.0009020193177040183], [0.009811862731220748, 0.38068181818181923, 0.06969696969696992], [0.0009020193177040183, 0.06969696969696992, 0.07333333333333346]]"
nlos3-2.8m.csv,"[[0.0013633479409251015, 0.0085553582027705, 0.0021821746440848916], [0.0085553582027705, 0.3218181818181815, 0.054242424242424245], [0.0021821746440848916, 0.054242424242424245, 0.04775252525252522]]"
nlos3-3.0m.csv,"[[0.0014033946021405578, 0.010053325662709249, 0.0018243924535886202], [0.010053325662709249, 0.3521212121212118, 0.03414141414141411], [0.0018243924535886202, 0.03414141414141411, 0.06795454545454552]]"
nlos3-3.2m.csv,"[[0.0009151693107087848, 0.0047283854629054205, -0.0001660592146594116], [0.0047283854629054205, 0.35848484848484874, 0.023131313131313128], [-0.0001660592146594116, 0.023131313131313128, 0.043838383838383954]]"
nlos3-3.4m.csv,"[[0.0017013223430981635, 0.008594650499748464, 0.0005481312732503874], [0.008594650499748464, 0.2584848484848481, 0.03136363636363644], [0.0005481312732503874, 0.03136363636363644, 0.0530050505050505]]"
nlos3-3.6m.csv,"[[0.0012099889632652568, 0.006081806047998292, 0.0025085828521034946], [0.006081806047998292, 0.4191919191919185, 0.058080808080808115], [0.0025085828521034946, 0.058080808080808115, 0.07323232323232326]]"
nlos3-3.8m.csv,"[[0.0009742686771492439, 0.005463936112143779, 0.0011272213675759056], [0.005463936112143779, 0.24858585858585827, 0.015808080808080854], [0.0011272213675759056, 0.015808080808080854, 0.029772727272727346]]"
nlos3-4.0m.csv,"[[0.0019678428995094656, 0.015129285027282408, -0.00019131284771543565], [0.015129285027282408, 0.27462121212121154, 0.05227272727272713], [-0.00019131284771543565, 0.05227272727272713, 0.0788888888888889]]"
nlos3-4.2m.csv,"[[0.0009759195201341629, 0.013903820611009693, 0.0011711122291256685], [0.013903820611009693, 0.3954292929292932, 0.04866161616161621], [0.0011711122291256685, 0.04866161616161621, 0.03866161616161628]]"
